Time,CA0,CA1,CA2
1060,0.806979363,0.535635059,0.332743924
1065,0.806979363,0.565695013,0.3600106
1070,0.408618378,0.544282025,0.378817898
1075,0.408618378,0.528209126,0.393136265
1080,0.408618378,0.496937584,0.389668428
1085,0.408618378,0.45747653,0.390329856
1090,0.408618378,0.457934995,0.381191429
1095,0.408618378,0.453758598,0.404324651
1100,0.408618378,0.419163086,0.393153887
1105,0.408618378,0.417726289,0.381707957
1110,0.408618378,0.409784132,0.384225632
1115,0.408618378,0.401994332,0.389048644
1120,0.408618378,0.390259568,0.366859266
1125,0.408618378,0.389564551,0.383777595
1130,0.408618378,0.39509233,0.367460374
1135,0.408618378,0.387075233,0.351466418
1140,0.408618378,0.374167997,0.344162176
1145,0.408618378,0.375556229,0.367312328
1150,1,0.421831434,0.35500241
1155,1,0.468475806,0.367637019
1160,1,0.503972339,0.36974527
1165,1,0.562973518,0.370436391
1170,1,0.602534034,0.396786737
1175,1,0.625773891,0.399587678
1180,1,0.651807185,0.416161967
1185,1,0.674377108,0.420790463
1190,1,0.686000595,0.454243565
1195,1,0.715763345,0.474127086
